user_id,age,gender,occupation
1,0.3287671232876712,M,technician
2,0.726027397260274,F,other
3,0.3150684931506849,M,writer
4,0.3287671232876712,M,technician
5,0.4520547945205479,F,other
6,0.5753424657534246,M,executive
7,0.7808219178082192,M,administrator
8,0.4931506849315068,M,administrator
9,0.3972602739726027,M,student
10,0.726027397260274,M,lawyer
11,0.5342465753424658,F,other
12,0.3835616438356164,F,other
13,0.6438356164383562,M,educator
14,0.6164383561643836,M,scientist
15,0.6712328767123288,F,educator
16,0.2876712328767123,M,entertainment
17,0.410958904109589,M,programmer
18,0.4794520547945205,F,other
19,0.547945205479452,M,librarian
20,0.5753424657534246,F,homemaker
21,0.3561643835616438,M,writer
22,0.3424657534246575,M,writer
23,0.410958904109589,F,artist
24,0.2876712328767123,F,artist
25,0.5342465753424658,M,engineer
26,0.6712328767123288,M,engineer
27,0.547945205479452,F,librarian
28,0.4383561643835616,M,writer
29,0.5616438356164384,M,programmer
30,0.0958904109589041,M,student
31,0.3287671232876712,M,artist
32,0.3835616438356164,F,student
33,0.3150684931506849,M,student
34,0.5205479452054794,F,administrator
35,0.273972602739726,F,homemaker
36,0.2602739726027397,F,student
37,0.3150684931506849,M,student
38,0.3835616438356164,F,other
39,0.5616438356164384,M,entertainment
40,0.5205479452054794,M,scientist
41,0.4520547945205479,M,engineer
42,0.410958904109589,M,administrator
43,0.3972602739726027,F,librarian
44,0.3561643835616438,M,technician
45,0.3972602739726027,M,programmer
46,0.3698630136986301,F,marketing
47,0.726027397260274,M,marketing
48,0.6164383561643836,M,administrator
49,0.3150684931506849,F,student
50,0.2876712328767123,M,writer
51,0.3835616438356164,M,educator
52,0.2465753424657534,F,student
53,0.3561643835616438,M,programmer
54,0.3013698630136986,M,executive
55,0.5068493150684932,M,programmer
56,0.3424657534246575,M,librarian
57,0.2191780821917808,M,none
58,0.3698630136986301,M,programmer
59,0.6712328767123288,M,educator
60,0.684931506849315,M,healthcare
61,0.4931506849315068,M,engineer
62,0.3698630136986301,F,administrator
63,0.4246575342465753,M,marketing
64,0.4383561643835616,M,educator
65,0.6986301369863014,F,educator
66,0.3150684931506849,M,student
67,0.2328767123287671,M,student
68,0.2602739726027397,M,student
69,0.3287671232876712,M,engineer
70,0.3698630136986301,M,engineer
